tissue,supertype_name,supertype_label,program_id,n_wildr_samples,mean_h,sd_h,same_sign
HYP,0438 SCH Six6 Cdc14a Gaba_3,CS20230722_SUPT_0438,P19,6,-0.24349844672868629,0.13655332215373217,TRUE
AMY,0175 Vip Gaba_3,CS20230722_SUPT_0175,P11,6,-0.24256556246615985,0.10296223904867735,TRUE
HYP,1181 COP NN_1,CS20230722_SUPT_1181,P17,6,-0.2411762764839769,0.11933064848373319,TRUE
HYP,0555 ARH-PVp Tbx3 Glut_2,CS20230722_SUPT_0555,P6,6,0.23973616648592935,0.1377334872769411,TRUE
HYP,0478 TU-ARH Otp Six6 Gaba_1,CS20230722_SUPT_0478,P2,6,0.23969002898115105,0.14999253061031823,TRUE
AMY,0233 STR Prox1 Lhx6 Gaba_1,CS20230722_SUPT_0233,P16,6,0.23887183236110723,0.17027830212274023,TRUE
HYP,0602 STN-PSTN Pitx2 Glut_5,CS20230722_SUPT_0602,P11,6,-0.2380347712587401,0.08317426873644386,TRUE
HYP,0569 VMH Nr5a1 Glut_4,CS20230722_SUPT_0569,P0,6,0.2370892823977946,0.1815548102061441,TRUE
AMY,0209 Pvalb Gaba_5,CS20230722_SUPT_0209,P7,6,-0.23701351686047986,0.14087355794743417,TRUE
AMY,1179 OPC NN_1,CS20230722_SUPT_1179,P8,6,0.23636742042838607,0.12337834401889282,TRUE
HYP,0611 PH Pitx2 Glut_2,CS20230722_SUPT_0611,P12,6,0.23544433206046042,0.11744025130818707,TRUE
AMY,0203 Lamp5 Lhx6 Gaba_1,CS20230722_SUPT_0203,P8,6,-0.23490783844983398,0.10704905656274971,TRUE
HYP,0587 PVH-SO-PVa Otp Glut_3,CS20230722_SUPT_0587,P10,6,0.23470122876493427,0.1007707201132664,TRUE
HYP,0479 TU-ARH Otp Six6 Gaba_2,CS20230722_SUPT_0479,P12,6,0.23317380756586992,0.09591915928038756,TRUE
HYP,0552 DMH Hmx2 Glut_1,CS20230722_SUPT_0552,P13,6,0.23124698487281617,0.17740996991578625,TRUE
HYP,0488 DMH Hmx2 Gaba_2,CS20230722_SUPT_0488,P15,6,0.22396552063534952,0.16692176523825195,TRUE
HYP,0567 VMH Nr5a1 Glut_2,CS20230722_SUPT_0567,P6,6,0.22289874289506711,0.13827590310733098,TRUE
AMY,1163 Astro-TE NN_3,CS20230722_SUPT_1163,P6,6,0.21919174041131392,0.11210275915301156,TRUE
HYP,0446 AHN-SBPV-PVHd Pdrm12 Gaba_1,CS20230722_SUPT_0446,P10,6,-0.21684352387113026,0.09462662984450179,TRUE
