tissue,supertype_name,supertype_label,program_id,n_wildr_samples,mean_h,sd_h,same_sign,top_term,top_category,top_pvalue,n_terms_p05
HYP,0478 TU-ARH Otp Six6 Gaba_1,CS20230722_SUPT_0478,P2,6,0.23969002898115105,0.14999253061031823,TRUE,IPR003961:FN3_dom,INTERPRO,0.00232876478255763,26
AMY,0233 STR Prox1 Lhx6 Gaba_1,CS20230722_SUPT_0233,P16,6,0.23887183236110723,0.17027830212274023,TRUE,molecular_function,GOTERM_MF_DIRECT,0.5676572787352465,0
HYP,0602 STN-PSTN Pitx2 Glut_5,CS20230722_SUPT_0602,P11,6,-0.2380347712587401,0.08317426873644386,TRUE,Developmental protein,UP_KW_MOLECULAR_FUNCTION,0.02018191925052777,2
HYP,0569 VMH Nr5a1 Glut_4,CS20230722_SUPT_0569,P0,6,0.2370892823977946,0.1815548102061441,TRUE,IPR011993:PH-like_dom_sf,INTERPRO,4.3928839840966e-4,9
AMY,0209 Pvalb Gaba_5,CS20230722_SUPT_0209,P7,6,-0.23701351686047986,0.14087355794743417,TRUE,plasma membrane,GOTERM_CC_DIRECT,0.00185867011458395,18
AMY,1179 OPC NN_1,CS20230722_SUPT_1179,P8,6,0.23636742042838607,0.12337834401889282,TRUE,Cell membrane,UP_KW_CELLULAR_COMPONENT,0.00164911995756286,3
HYP,0611 PH Pitx2 Glut_2,CS20230722_SUPT_0611,P12,6,0.23544433206046042,0.11744025130818707,TRUE,IPR003599:Ig_sub,INTERPRO,0.0290601343669684,4
AMY,0203 Lamp5 Lhx6 Gaba_1,CS20230722_SUPT_0203,P8,6,-0.23490783844983398,0.10704905656274971,TRUE,IPR001007:VWF_dom,INTERPRO,2.7854609273688e-4,3
HYP,0587 PVH-SO-PVa Otp Glut_3,CS20230722_SUPT_0587,P10,6,0.23470122876493427,0.1007707201132664,TRUE,zinc ion binding,GOTERM_MF_DIRECT,0.15620571633897468,0
HYP,0479 TU-ARH Otp Six6 Gaba_2,CS20230722_SUPT_0479,P12,6,0.23317380756586992,0.09591915928038756,TRUE,COMPBIAS:Polar residues,UP_SEQ_FEATURE,0.00303042760285781,4
HYP,0552 DMH Hmx2 Glut_1,CS20230722_SUPT_0552,P13,6,0.23124698487281617,0.17740996991578625,TRUE,Cell membrane,UP_KW_CELLULAR_COMPONENT,0.00553459369409695,2
HYP,0488 DMH Hmx2 Gaba_2,CS20230722_SUPT_0488,P15,6,0.22396552063534952,0.16692176523825195,TRUE,mmu04081:Hormone signaling,KEGG_PATHWAY,1.4500579218925e-4,3
HYP,0567 VMH Nr5a1 Glut_2,CS20230722_SUPT_0567,P6,6,0.22289874289506711,0.13827590310733098,TRUE,metanephros development,GOTERM_BP_DIRECT,0.00221981856928593,10
AMY,1163 Astro-TE NN_3,CS20230722_SUPT_1163,P6,6,0.21919174041131392,0.11210275915301156,TRUE,DNA-binding,UP_KW_MOLECULAR_FUNCTION,0.06276429424850893,0
HYP,0446 AHN-SBPV-PVHd Pdrm12 Gaba_1,CS20230722_SUPT_0446,P10,6,-0.21684352387113026,0.09462662984450179,TRUE,CARBOHYD:N-linked (GlcNAc...) asparagine,UP_SEQ_FEATURE,0.0103307560747866,7
HYP,0438 SCH Six6 Cdc14a Gaba_3,CS20230722_SUPT_0438,P0,6,-0.21514386243440115,0.15224782934897943,TRUE,TOPO_DOM:Cytoplasmic,UP_SEQ_FEATURE,0.02480139785375472,2
AMY,0203 Lamp5 Lhx6 Gaba_1,CS20230722_SUPT_0203,P15,6,0.21428892878214614,0.08040653312130702,TRUE,CARBOHYD:N-linked (GlcNAc...) asparagine,UP_SEQ_FEATURE,0.1269588054114067,0
AMY,0355 MEA-BST Lhx6 Nr2e1 Gaba_2,CS20230722_SUPT_0355,P18,6,0.214047986052141,0.14262722355291266,TRUE,mmu04080:Neuroactive ligand-receptor interaction,KEGG_PATHWAY,0.00211595938624172,5
AMY,1160 Astro-NT NN_2,CS20230722_SUPT_1160,P4,6,-0.21351590543895071,0.14154895081945224,TRUE,Transmembrane helix,UP_KW_DOMAIN,0.058364917811742,0
HYP,0459 ZI Pax6 Gaba_1,CS20230722_SUPT_0459,P8,6,-0.21025704509613813,0.1543263044761026,TRUE,cell adhesion,GOTERM_BP_DIRECT,0.02325611421881206,4
